"","rising_new$video_id"
"608","pgfFPVtLYCw"
"609","sGNMFXQ_PqA"
"610","gm2VXqsj-hk"
"611","KJuA4yo8oCs"
"612","jKyW3VHRnoY"
"613","oNg3Sg6Tpl4"
"614","3BWjYsriRGU"
"615","jdhmVx2pjHg"
"616","mVoJNrA09qk"
"617","T2OAFTQGBeU"
"618","0ywiwh53n1w"
"619","Wxhl5blIcdw"
"620","aamhfPqqZtg"
"621","OYSAU2TVOUo"
"622","FMz-7V39N_Y"
"623","iq8F7HFoQI4"
"624","yN_eBWIGFwI"
"625","lH9Ud06w-Y8"
"626","nqOol7TFGg8"
"627","9zvvr4C68S8"
"628","L6h56wBMgyY"
"629","9bvv7Ocq1mo"
"630","CkfWw0TplXE"
"631","PGdamHWoAuk"
"632","BBRSszrsOEA"
"633","f3bUBiLoPJU"
"634","Uo154q22Bck"
"635","PuvOnvlt8rM"
"636","yn3SHp2KnHM"
"637","G4HHftNobJY"
"638","OCVqgkMQKnw"
"639","dBa3-IJGr-M"
"640","kkwufBRD-t8"
"641","HSAOOwZOesU"
"642","MoaiJn5aOqk"
"643","0vlkw-WiW6o"
"644","z121BogtU7Y"
"645","TjVDwvBMduA"
"646","4kKQpGFCnzg"
"647","z6kDF-9UOiw"
"648","tGfqFlMeHBc"
"649","DmFNHMBQhTc"
"650","9HvP4la3Iwc"
"651","UdjAaKIGORQ"
"652","tKrjr6kTuMM"
"653","SkRVWobCOAg"
"654","PSUTIemu58o"
"655","NrTYUAXjiAM"
"656","eIvfj53fzQA"
"657","R3TJBJ_YeWU"
"658","gQkiKqbIES8"
"659","msa3bVPRGIc"
"660","Nljrph6yqBo"
"661","sh7XrYqTC3g"
"662","HKI0OIONvK8"
"663","6Pk0wLN5uuU"
"664","nS1yE6Yyk0I"
"665","B3FqL3LgAXo"
"666","mPhnkOYK9Is"
"667","6chlwotOTCg"
"668","YbS5WUPjlh8"
"669","YBGnRT7IAME"
"670","D0UpbRgrMlA"
"671","AkpXDRlHYQk"
"672","s2frdizFSxo"
"673","gyP1wiqMzQM"
"674","6wqEcUQkXtw"
"675","g1qzZ5lr_8I"
"676","W6KL1GNmo8E"
"677","CvP3E6U0Xkk"
"678","p2wvdUAGzmk"
"679","YR5ea7g838k"
"680","LJ8Gp1K4IfI"
"681","hPJ3iW7DZXw"
"682","MNtun9JXx9o"
"683","ST9cmttj1kY"
"684","Xbg_YIsE5As"
"685","XB6SPrYfCqU"
"686","f0nBbqCrrfU"
"687","d8sGWFZ_tjU"
"688","e3hC3IfUn_c"
"689","M76pqke4ouQ"
"690","2qcmAClJZO0"
"691","xZuXRv_eu9k"
"692","xD0SF0AMIXo"
"693","lxR78esqpEQ"
"694","ZM-BgWfUTHM"
"695","WIG35fZRZ9o"
"696","XCCMoZg62TM"
"697","SmurXEnrkqI"
"698","k8ZnobYpyS8"
"699","CgzY4ROrh9s"
"700","nqw5lfGpc8s"
"701","vwAbgUx9_qE"
"702","yrm3mJxONOU"
"703","yXkbzGA4TNw"
"704","bh_eOufFFTw"
"705","Js8pXPnLicc"
"706","dsqOB4BwrhY"
"707","9P2iLmnKCBU"
"708","-riozpHM598"
"709","oTwKvsD9mPE"
"710","g_ipgYdQeAU"
"711","l9kqM6hW_Io"
"712","TJS8JyFa9QQ"
"713","n82fqxBbgOA"
"714","xF-ODBmp0aQ"
"715","W85QiwL7qiU"
"716","KZmX447d6qw"
"717","tdJhuv3idm8"
"718","dYCXMaB1Y7c"
"719","i_1X2zlocoM"
"720","AlDQf26exLw"
"721","F9gYbjY2RXY"
"722","7saTA432MbA"
"723","b8Q9w4ik_Lg"
"724","lQDbKu1ZG6M"
"725","9WkRehGMKbw"
"726","W9BvXPhudps"
"727","S47r8nr1gXw"
"728","V1-BrWJL64E"
"729","14-8-dxSKYE"
"730","-UfxXOPY0gc"
"731","nDEsgJ4RDv4"
"732","Fb-igk_VinQ"
"733","b4LUaBj5sFk"
"734","qh3i2-cpBO4"
"735","fT9rR7rSVpw"
"736","D6OtUF7-xSE"
"737","yxKcJfdXdZM"
"738","lmOZHOOs67w"
"739","a3YTLpEuQrY"
"740","DIc2tckvqlQ"
"741","uWiIga3AQFA"
"742","LuZsejSnono"
"743","qNBClkJKIRI"
"744","UsaaZz41n6U"
"745","gs2aCB2uRI4"
"746","nTKeM1b6yjI"
"747","hToVYwbRzvk"
"748","8zMXTdax4c8"
"749","kFMlxMgfTDM"
"750","AC-J3xfCHlw"
"751","1zUJoHSV2WI"
"752","geWCmB7mZ6I"
"753","4vSyBl491-c"
"754","vIvKH2Kwzas"
"755","2OXGsRvK2W0"
"756","aihWH-KrKcw"
"757","swMynh0MIWw"
"758","esTngDNSfLc"
"759","adilUz3-AAM"
"760","oYcoUYJZfOU"
"761","hR7mRpcn_Gc"
"762","2QWEqWpn_uc"
"763","bmPKnna61fQ"
"764","lycDYuQnneo"
"765","km2QgT2HY10"
"766","A7QVOLXjJlw"
"767","U3pPCHsgXvs"
"768","UmmqRotC4Ts"
"769","kPgf9-4C7b8"
"770","AJ7EtO8xhxI"
"771","aycHf_VtFE8"
"772","aoqFjpjKWFQ"
