"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"147","i3PEay559tw",2022-08-01,"Saagar Enjeti: I Was Wrong, Dr. Oz Is Doing TERRIBLY","Saagar describes to viewers why he was wrong about Dr. Oz as a politician and how terrible his campaign for Pennsylvania ...","i3PEay559tw",64085,2457,0,484
"148","5KX3qpFGGA4",2022-06-13,"Former Obama Advisor: Biden TOO OLD To Run Again | Breaking Points with Krystal and Saagar","Krystal and Saagar analyze the belief among Democratic Party insiders that Biden should not run for President again, especially ...","5KX3qpFGGA4",71888,2754,0,1065
"149","FpuKv5_Bt5M",2022-07-22,"Peter Zeihan: What The NEW Japan Means for Peace in Asia | Breaking Points with Krystal and Saagar","Krystal and Saagar have Marshall Kosloff talk to geopolitical analyst Peter Zeihan about Japan's future and the broader ...","FpuKv5_Bt5M",71625,2567,0,489
"150","kJ4E-csKudY",2022-06-08,"AOC SLAMS Dems for ABANDONING &#39;Latinx&#39; Term | Breaking Points with Krystal and Saagar","Krystal and Saagar scrutinize AOC for defending the widely despised term 'latinx' and slamming Democrats who have come out ...","kJ4E-csKudY",176925,6009,0,3232
"151","CkLGYRqmZuY",2022-06-07,"Half Of Families Face HUNGER After CTC Expires | Breaking Points with Krystal and Saagar","Krystal and Saagar examine the consequences of the Child Tax Credit expiring that has led to half the families who obtained it to ...","CkLGYRqmZuY",65895,2553,0,990
"152","Oki2bH3r_CU",2021-07-20,"Krystal and Saagar: POLLS Show NOBODY Believes In Kamala For President, Dem Brand Ruined","Krystal and Saagar look at polling data that shows negative opinions towards Kamala Harris and the Democratic party causing ...","Oki2bH3r_CU",261321,10111,0,2593
"153","KAqmDgXn58A",2022-05-19,"George W Bush CONFUSES Iraq With Ukraine In Condemnation | Breaking Points with Krystal and Saagar","Krystal and Saagar react to the freudian slip by former President George W Bush who confused Iraq with Ukraine in a speech ...","KAqmDgXn58A",57218,3304,0,714
"154","nywWi2GRwJ0",2021-11-29,"Hillary BLAMES VOTERS For Biden&#39;s Falling Approval Rating | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to the comments made by Hillary Clinton on MSNBC blaming the American people for not approving ...","nywWi2GRwJ0",249187,12389,0,3085
"155","ugGDY0phlLk",2022-07-16,"The College Education DIVIDE Shaping Culture Wars | Breaking Points with Krystal and Saagar","Krystal and Saagar discuss the influence of college education divides on culture war politics that take center stage To become a ...","ugGDY0phlLk",95447,2732,0,1043
"156","FdT3TclD8Oc",2022-05-17,"Did SCOTUS Just Legalize OUTRIGHT Bribery In Ted Cruz Case? |Breaking Points with Krystal and Saagar","Krystal and Saagar break down the SCOTUS case involving Ted Cruz that appears to legalize bribery from campaign donors to ...","FdT3TclD8Oc",67762,2931,0,474
"157","2D0_Sz7GaTE",2022-06-05,"Piers Morgan Paid $63 Million for TRASH Ratings | Breaking Points with Krystal and Saagar","Krystal and Saagar look at the reports that Piers Morgan is being paid $63 million for his new show with cratering ratings across ...","2D0_Sz7GaTE",102422,3220,0,486
"158","q1AKtIuwqsM",2022-07-30,"Keith Olbermann Starts DOOMED Podcast | Breaking Points with Krystal and Saagar","Krystal and Saagar talk about Keith Olbermann starting a new podcast and why liberal cable news anchor have typically failed in ...","q1AKtIuwqsM",82904,2701,0,655
"159","uYNLEPZwzoQ",2022-05-26,"ROUNDUP: WORST School Shooting Takes From Left &amp; Right | Breaking Points with Krystal and Saagar","Krystal and Saagar present the worst mass shooting takes from the left and right as part of a critique of online political discourse ...","uYNLEPZwzoQ",109566,4140,0,1225
